stableBindProbability,chemokineExpressionThreshold,initialChemokineExpressionValue,maxChemokineExpressionValue,maxProbabilityOfAdhesion,adhesionFactorExpressionSlope,ATestVelocity,ATestVelocityNorm,ATestDisplacement,ATestDisplacementNorm
50,0.3,0.2,0.04,0.6,1,0.5,0.5,0.5,0.5
10,0.3,0.2,0.04,0.6,1,0.436774074074074,0.563225925925926,0.5248,0.5248
20,0.3,0.2,0.04,0.6,1,0.511585185185185,0.511585185185185,0.501937037037037,0.501937037037037
30,0.3,0.2,0.04,0.6,1,0.499216666666667,0.500783333333333,0.541048148148148,0.541048148148148
40,0.3,0.2,0.04,0.6,1,0.500236111111111,0.500236111111111,0.491990740740741,0.508009259259259
60,0.3,0.2,0.04,0.6,1,0.509981481481482,0.509981481481482,0.515642592592593,0.515642592592593
70,0.3,0.2,0.04,0.6,1,0.496764814814815,0.503235185185185,0.503281481481482,0.503281481481482
80,0.3,0.2,0.04,0.6,1,0.500640740740741,0.500640740740741,0.489787037037037,0.510212962962963
90,0.3,0.2,0.04,0.6,1,0.49263425925926,0.50736574074074,0.498946296296297,0.501053703703703
100,0.3,0.2,0.04,0.6,1,0.483833333333334,0.516166666666666,0.433866666666667,0.566133333333333
50,0.1,0.2,0.04,0.6,1,0.494081481481482,0.505918518518518,0.545575925925926,0.545575925925926
50,0.2,0.2,0.04,0.6,1,0.498243518518518,0.501756481481482,0.519688888888889,0.519688888888889
50,0.4,0.2,0.04,0.6,1,0.52532962962963,0.52532962962963,0.496607407407407,0.503392592592593
50,0.5,0.2,0.04,0.6,1,0.51167962962963,0.51167962962963,0.482005555555556,0.517994444444444
50,0.6,0.2,0.04,0.6,1,0.487603703703704,0.512396296296296,0.442955555555556,0.557044444444444
50,0.7,0.2,0.04,0.6,1,0.471155555555555,0.528844444444445,0.459322222222222,0.540677777777778
50,0.8,0.2,0.04,0.6,1,0.465087962962963,0.534912037037037,0.431475925925926,0.568524074074074
50,0.9,0.2,0.04,0.6,1,0.440396296296296,0.559603703703704,0.303377777777778,0.696622222222222
50,0.3,0.1,0.04,0.6,1,0.538116666666666,0.538116666666666,0.598716666666667,0.598716666666667
50,0.3,0.15,0.04,0.6,1,0.550294444444445,0.550294444444445,0.531492592592592,0.531492592592592
50,0.3,0.25,0.04,0.6,1,0.510738888888889,0.510738888888889,0.499837037037037,0.500162962962963
50,0.3,0.3,0.04,0.6,1,0.488318518518518,0.511681481481482,0.455503703703704,0.544496296296296
50,0.3,0.35,0.04,0.6,1,0.48195462962963,0.51804537037037,0.467557407407407,0.532442592592593
50,0.3,0.4,0.04,0.6,1,0.468887037037037,0.531112962962963,0.424270370370371,0.575729629629629
50,0.3,0.45,0.04,0.6,1,0.461466666666667,0.538533333333333,0.389042592592593,0.610957407407407
50,0.3,0.5,0.04,0.6,1,0.45593425925926,0.54406574074074,0.410251851851852,0.589748148148148
50,0.3,0.2,0.015,0.6,1,0.497308333333334,0.502691666666666,0.513309259259259,0.513309259259259
50,0.3,0.2,0.02,0.6,1,0.484315740740741,0.515684259259259,0.489783333333333,0.510216666666667
50,0.3,0.2,0.025,0.6,1,0.523388888888889,0.523388888888889,0.507075925925926,0.507075925925926
50,0.3,0.2,0.03,0.6,1,0.520157407407407,0.520157407407407,0.520055555555555,0.520055555555555
50,0.3,0.2,0.035,0.6,1,0.488214814814815,0.511785185185185,0.486725925925926,0.513274074074074
50,0.3,0.2,0.045,0.6,1,0.492789814814815,0.507210185185185,0.483905555555555,0.516094444444445
50,0.3,0.2,0.05,0.6,1,0.53650462962963,0.53650462962963,0.495325925925926,0.504674074074074
50,0.3,0.2,0.055,0.6,1,0.5159,0.5159,0.522927777777778,0.522927777777778
50,0.3,0.2,0.06,0.6,1,0.522831481481482,0.522831481481482,0.526992592592593,0.526992592592593
50,0.3,0.2,0.065,0.6,1,0.503281481481482,0.503281481481482,0.522877777777777,0.522877777777777
50,0.3,0.2,0.07,0.6,1,0.469651851851852,0.530348148148148,0.485159259259259,0.514840740740741
50,0.3,0.2,0.075,0.6,1,0.510642592592593,0.510642592592593,0.513781481481481,0.513781481481481
50,0.3,0.2,0.08,0.6,1,0.508319444444445,0.508319444444445,0.506125925925926,0.506125925925926
50,0.3,0.2,0.04,0.1,1,0.205706481481482,0.794293518518518,0.467327777777778,0.532672222222222
50,0.3,0.2,0.04,0.15,1,0.216642592592592,0.783357407407407,0.458322222222222,0.541677777777778
50,0.3,0.2,0.04,0.2,1,0.259721296296296,0.740278703703704,0.470481481481481,0.529518518518519
50,0.3,0.2,0.04,0.25,1,0.281676851851852,0.718323148148148,0.460996296296297,0.539003703703703
50,0.3,0.2,0.04,0.3,1,0.32080462962963,0.67919537037037,0.484909259259259,0.515090740740741
50,0.3,0.2,0.04,0.35,1,0.338209259259259,0.661790740740741,0.473064814814815,0.526935185185185
50,0.3,0.2,0.04,0.4,1,0.371710185185185,0.628289814814815,0.468409259259259,0.531590740740741
50,0.3,0.2,0.04,0.45,1,0.426433333333334,0.573566666666666,0.482414814814815,0.517585185185185
50,0.3,0.2,0.04,0.5,1,0.434244444444444,0.565755555555556,0.494366666666667,0.505633333333333
50,0.3,0.2,0.04,0.55,1,0.479658333333333,0.520341666666666,0.483394444444445,0.516605555555555
50,0.3,0.2,0.04,0.65,1,0.5483,0.5483,0.508492592592593,0.508492592592593
50,0.3,0.2,0.04,0.7,1,0.571863888888889,0.571863888888889,0.503183333333333,0.503183333333333
50,0.3,0.2,0.04,0.75,1,0.569249074074074,0.569249074074074,0.522562962962963,0.522562962962963
50,0.3,0.2,0.04,0.8,1,0.596593518518518,0.596593518518518,0.511414814814815,0.511414814814815
50,0.3,0.2,0.04,0.85,1,0.578396296296296,0.578396296296296,0.554890740740741,0.554890740740741
50,0.3,0.2,0.04,0.9,1,0.633732407407407,0.633732407407407,0.616355555555556,0.616355555555556
50,0.3,0.2,0.04,0.95,1,0.612898148148148,0.612898148148148,0.654664814814815,0.654664814814815
50,0.3,0.2,0.04,0.6,0.25,0.328971296296296,0.671028703703704,0.496974074074074,0.503025925925926
50,0.3,0.2,0.04,0.6,0.5,0.423387037037037,0.576612962962963,0.508877777777778,0.508877777777778
50,0.3,0.2,0.04,0.6,0.75,0.470990740740741,0.529009259259259,0.516753703703704,0.516753703703704
50,0.3,0.2,0.04,0.6,1.25,0.557626851851852,0.557626851851852,0.526631481481481,0.526631481481481
50,0.3,0.2,0.04,0.6,1.5,0.561106481481481,0.561106481481481,0.492877777777777,0.507122222222223
50,0.3,0.2,0.04,0.6,1.75,0.578219444444445,0.578219444444445,0.519744444444445,0.519744444444445
50,0.3,0.2,0.04,0.6,2,0.612112037037037,0.612112037037037,0.530616666666667,0.530616666666667
50,0.3,0.2,0.04,0.6,2.25,0.628374074074074,0.628374074074074,0.513246296296296,0.513246296296296
50,0.3,0.2,0.04,0.6,2.5,0.634381481481482,0.634381481481482,0.502761111111111,0.502761111111111
50,0.3,0.2,0.04,0.6,2.75,0.619056481481481,0.619056481481481,0.512422222222222,0.512422222222222
50,0.3,0.2,0.04,0.6,3,0.620660185185185,0.620660185185185,0.531366666666667,0.531366666666667
50,0.3,0.2,0.04,0.6,3.25,0.632860185185185,0.632860185185185,0.500048148148148,0.500048148148148
50,0.3,0.2,0.04,0.6,3.5,0.610777777777778,0.610777777777778,0.482314814814814,0.517685185185186
50,0.3,0.2,0.04,0.6,3.75,0.611585185185185,0.611585185185185,0.480237037037037,0.519762962962963
50,0.3,0.2,0.04,0.6,4,0.668224074074074,0.668224074074074,0.510770370370371,0.510770370370371
50,0.3,0.2,0.04,0.6,4.25,0.641800925925926,0.641800925925926,0.531746296296296,0.531746296296296
50,0.3,0.2,0.04,0.6,4.5,0.638793518518519,0.638793518518519,0.493883333333333,0.506116666666667
50,0.3,0.2,0.04,0.6,4.75,0.62794537037037,0.62794537037037,0.500562962962963,0.500562962962963
50,0.3,0.2,0.04,0.6,5,0.648195370370371,0.648195370370371,0.520870370370371,0.520870370370371
